date,state,city,vaccine,sex,age,count
2021-01-16,SP,Itararé/SP,Sinovac,F,20-24,1
2021-01-17,SP,Aguaí/SP,Pfizer/BioNTech,F,55-59,1
2021-01-17,SP,Americana/SP,Sinovac,F,30-34,1
2021-01-17,SP,Américo Brasiliense/SP,Sinovac,F,25-29,1
2021-01-17,SP,Américo Brasiliense/SP,Sinovac,F,30-34,3
2021-01-17,SP,Américo Brasiliense/SP,Sinovac,M,25-29,1
2021-01-17,SP,Araraquara/SP,Johnson&Johnson,F,65-69,2
2021-01-17,SP,Araçoiaba da Serra/SP,Pfizer/BioNTech,M,50-54,1
2021-01-17,SP,Barueri/SP,Pfizer/BioNTech,F,10-14,1
2021-01-17,SP,Barueri/SP,Pfizer/BioNTech,F,15-19,1
2021-01-17,SP,Barueri/SP,Pfizer/BioNTech,F,20-24,1
2021-01-17,SP,Barueri/SP,Pfizer/BioNTech,F,55-59,1
2021-01-17,SP,Bastos/SP,Sinovac,F,40-44,1
2021-01-17,SP,Bastos/SP,Sinovac,F,45-49,1
2021-01-17,SP,Bastos/SP,Sinovac,F,80-84,1
2021-01-17,SP,Bastos/SP,Sinovac,M,20-24,1
2021-01-17,SP,Bastos/SP,Sinovac,M,35-39,2
2021-01-17,SP,Bastos/SP,Sinovac,M,85-89,1
2021-01-17,SP,Bauru/SP,Sinovac,F,25-29,1
2021-01-17,SP,Bauru/SP,Sinovac,F,35-39,1
2021-01-17,SP,Bauru/SP,Sinovac,F,45-49,1
2021-01-17,SP,Bertioga/SP,Sinovac,F,35-39,1
2021-01-17,SP,Botucatu/SP,Sinovac,M,85-89,1
2021-01-17,SP,Campinas/SP,Sinovac,F,25-29,1
2021-01-17,SP,Campinas/SP,Sinovac,F,50-54,1
2021-01-17,SP,Campinas/SP,Pfizer/BioNTech,F,20-24,1
2021-01-17,SP,Campinas/SP,Sinovac,F,55-59,1
2021-01-17,SP,Caraguatatuba/SP,Pfizer/BioNTech,F,60-64,1
2021-01-17,SP,Carapicuíba/SP,Sinovac,F,80-84,2
2021-01-17,SP,Carapicuíba/SP,Sinovac,M,40-44,1
2021-01-17,SP,Caçapava/SP,Johnson&Johnson,F,40-44,1
2021-01-17,SP,Cubatão/SP,Johnson&Johnson,F,20-24,2
2021-01-17,SP,Descalvado/SP,Pfizer/BioNTech,M,55-59,1
2021-01-17,SP,Embu das Artes/SP,Sinovac,F,35-39,1
2021-01-17,SP,Embu das Artes/SP,Sinovac,F,50-54,1
2021-01-17,SP,Embu das Artes/SP,Pfizer/BioNTech,F,45-49,1
2021-01-17,SP,Embu-Guaçu/SP,Sinovac,F,35-39,1
2021-01-17,SP,Franco da Rocha/SP,Pfizer/BioNTech,F,45-49,1
2021-01-17,SP,Getulina/SP,Sinovac,M,55-59,1
2021-01-17,SP,Guaratinguetá/SP,Sinovac,F,20-24,1
2021-01-17,SP,Guaratinguetá/SP,Sinovac,F,25-29,1
2021-01-17,SP,Guaratinguetá/SP,Sinovac,F,40-44,2
2021-01-17,SP,Guarujá/SP,Oxford/AstraZeneca,M,60-64,1
2021-01-17,SP,Guarujá/SP,Oxford/AstraZeneca,M,25-29,1
2021-01-17,SP,Guarulhos/SP,Pfizer/BioNTech,M,10-14,1
2021-01-17,SP,Guarulhos/SP,Sinovac,F,30-34,1
2021-01-17,SP,Guarulhos/SP,Sinovac,F,40-44,1
2021-01-17,SP,Guarulhos/SP,Sinovac,F,45-49,1
2021-01-17,SP,Guarulhos/SP,Sinovac,F,70-74,1
2021-01-17,SP,Guarulhos/SP,Sinovac,M,55-59,1
2021-01-17,SP,Guarulhos/SP,Pfizer/BioNTech,F,15-19,1
2021-01-17,SP,Guarulhos/SP,Pfizer/BioNTech,F,45-49,1
2021-01-17,SP,Igaraçu do Tietê/SP,Sinovac,F,45-49,1
2021-01-17,SP,Igaraçu do Tietê/SP,Sinovac,M,55-59,1
2021-01-17,SP,Ilha Comprida/SP,Sinovac,F,90+,1
2021-01-17,SP,Ipaussu/SP,Sinovac,M,55-59,1
2021-01-17,SP,Irapuã/SP,Pfizer/BioNTech,M,55-59,1
2021-01-17,SP,Itapetininga/SP,Pfizer/BioNTech,F,60-64,1
2021-01-17,SP,Itapevi/SP,Pfizer/BioNTech,M,35-39,1
2021-01-17,SP,Itaquaquecetuba/SP,Sinovac,F,25-29,1
2021-01-17,SP,Itaquaquecetuba/SP,Sinovac,F,35-39,2
2021-01-17,SP,Itaquaquecetuba/SP,Sinovac,F,40-44,1
2021-01-17,SP,Itupeva/SP,Oxford/AstraZeneca,F,50-54,1
2021-01-17,SP,Itápolis/SP,Sinovac,M,35-39,1
2021-01-17,SP,Jandira/SP,Pfizer/BioNTech,F,45-49,1
2021-01-17,SP,Jandira/SP,Pfizer/BioNTech,F,60-64,1
2021-01-17,SP,Jundiaí/SP,Sinovac,F,35-39,2
2021-01-17,SP,Jundiaí/SP,Sinovac,F,65-69,1
2021-01-17,SP,Jundiaí/SP,Sinovac,M,20-24,1
2021-01-17,SP,Jundiaí/SP,Sinovac,M,25-29,1
2021-01-17,SP,Mairinque/SP,Pfizer/BioNTech,F,45-49,1
2021-01-17,SP,Mairiporã/SP,Sinovac,F,25-29,1
2021-01-17,SP,Marília/SP,Oxford/AstraZeneca,F,40-44,1
2021-01-17,SP,Marília/SP,Sinovac,F,30-34,1
2021-01-17,SP,Marília/SP,Sinovac,F,35-39,1
2021-01-17,SP,Marília/SP,Sinovac,F,40-44,1
2021-01-17,SP,Marília/SP,Sinovac,F,60-64,1
2021-01-17,SP,Marília/SP,Sinovac,M,30-34,1
2021-01-17,SP,Mauá/SP,Oxford/AstraZeneca,F,40-44,1
2021-01-17,SP,Mauá/SP,Sinovac,F,35-39,1
2021-01-17,SP,Olímpia/SP,Sinovac,F,65-69,1
2021-01-17,SP,Osasco/SP,Oxford/AstraZeneca,F,55-59,1
2021-01-17,SP,Pedreira/SP,Oxford/AstraZeneca,F,50-54,2
2021-01-17,SP,Pedreira/SP,Oxford/AstraZeneca,M,30-34,3
2021-01-17,SP,Peruíbe/SP,Pfizer/BioNTech,F,35-39,1
2021-01-17,SP,Peruíbe/SP,Pfizer/BioNTech,F,65-69,1
2021-01-17,SP,Pindamonhangaba/SP,Oxford/AstraZeneca,F,45-49,1
2021-01-17,SP,Piracicaba/SP,Sinovac,F,65-69,1
2021-01-17,SP,Pirapora do Bom Jesus/SP,Pfizer/BioNTech,M,25-29,1
2021-01-17,SP,Planalto/SP,Pfizer/BioNTech,F,30-34,1
2021-01-17,SP,Pompéia/SP,Sinovac,F,55-59,1
2021-01-17,SP,Poá/SP,Pfizer/BioNTech,M,45-49,1
2021-01-17,SP,Praia Grande/SP,Sinovac,F,90+,1
2021-01-17,SP,Praia Grande/SP,Pfizer/BioNTech,F,40-44,1
2021-01-17,SP,Presidente Alves/SP,Sinovac,F,25-29,1
2021-01-17,SP,Ribeirão Pires/SP,Pfizer/BioNTech,F,50-54,1
2021-01-17,SP,Ribeirão Preto/SP,Sinovac,F,30-34,1
2021-01-17,SP,Ribeirão Preto/SP,Sinovac,F,50-54,2
2021-01-17,SP,Rio Claro/SP,Sinovac,M,35-39,1
2021-01-17,SP,Rio Claro/SP,Sinovac,M,55-59,1
2021-01-17,SP,Santa Maria da Serra/SP,Pfizer/BioNTech,F,55-59,1
2021-01-17,SP,Santa Maria da Serra/SP,Pfizer/BioNTech,M,55-59,1
2021-01-17,SP,Santo André/SP,Oxford/AstraZeneca,M,35-39,1
2021-01-17,SP,Santo André/SP,Sinovac,M,5-9,1
2021-01-17,SP,Santo André/SP,Oxford/AstraZeneca,M,45-49,1
2021-01-17,SP,Santo André/SP,Pfizer/BioNTech,M,50-54,1
2021-01-17,SP,Santos/SP,Sinovac,F,60-64,1
2021-01-17,SP,Santos/SP,Pfizer/BioNTech,M,55-59,1
2021-01-17,SP,Serrana/SP,Sinovac,M,20-24,1
2021-01-17,SP,Severínia/SP,Pfizer/BioNTech,F,50-54,1
2021-01-17,SP,Sorocaba/SP,Oxford/AstraZeneca,F,30-34,1
2021-01-17,SP,Sorocaba/SP,Pfizer/BioNTech,F,5-9,1
2021-01-17,SP,Sorocaba/SP,Pfizer/BioNTech,M,20-24,1
2021-01-17,SP,Sorocaba/SP,Pfizer/BioNTech,M,45-49,1
2021-01-17,SP,Sorocaba/SP,Pfizer/BioNTech,M,50-54,1
